# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-F" "GFF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379726_1_trimmed.bam" "SRR10379723_1_trimmed.bam" "SRR10379725_1_trimmed.bam" "SRR10379722_1_trimmed.bam" "SRR10379724_1_trimmed.bam" "SRR10379721_1_trimmed.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_1_trimmed.bam	SRR10379723_1_trimmed.bam	SRR10379725_1_trimmed.bam	SRR10379722_1_trimmed.bam	SRR10379724_1_trimmed.bam	SRR10379721_1_trimmed.bam
gene-SAOUHSC_01614	CP000253.1	1537915	1539336	-	1422	1054	9230	5381	8932	5043	12884
gene-SAOUHSC_01615	CP000253.1	1539487	1541166	-	1680	925	5401	6667	5190	5164	8549
gene-SAOUHSC_01617	CP000253.1	1541182	1541634	-	453	61	720	1646	746	1516	1390
gene-SAOUHSC_01618	CP000253.1	1542066	1542947	-	882	1626	4091	7410	4514	5302	5649
gene-SAOUHSC_01619	CP000253.1	1542925	1543155	-	231	73	565	931	669	1034	791
gene-SAOUHSC_01620	CP000253.1	1543148	1544485	-	1338	1072	4292	9142	5120	8676	6176
gene-SAOUHSC_01621	CP000253.1	1544502	1544891	-	390	474	2785	6641	3225	5498	3791
gene-SAOUHSC_01622	CP000253.1	1544951	1545313	-	363	984	1647	4317	1862	3570	2330
gene-SAOUHSC_01623	CP000253.1	1545328	1546683	-	1356	2897	5165	10966	6177	9859	7191
gene-SAOUHSC_01624	CP000253.1	1546683	1547147	-	465	1262	2064	4540	2677	4086	2911
gene-SAOUHSC_01625	CP000253.1	1547621	1548178	-	558	2533	6831	15003	8112	17631	9896
gene-SAOUHSC_01626	CP000253.1	1548204	1549265	-	1062	1451	1648	10157	2049	6210	2773
gene-SAOUHSC_01627	CP000253.1	1549370	1549951	+	582	127	1502	3231	1273	3100	2131
gene-SAOUHSC_01628	CP000253.1	1549965	1550183	+	219	53	417	724	346	741	590
gene-SAOUHSC_01629	CP000253.1	1550247	1551077	-	831	1375	2970	4417	2767	4115	4229
gene-SAOUHSC_01630	CP000253.1	1551235	1551621	+	387	553	1687	4224	2041	4433	2941
gene-SAOUHSC_01632	CP000253.1	1551986	1553458	-	1473	2770	2883	7754	3885	6851	4546
gene-SAOUHSC_01633	CP000253.1	1553451	1554797	-	1347	846	2057	5801	2855	4854	3010
gene-SAOUHSC_01634	CP000253.1	1554817	1555908	-	1092	361	954	3250	1221	2476	1546
gene-SAOUHSC_01635	CP000253.1	1556067	1556591	-	525	261	1005	3883	1754	3515	1819
gene-SAOUHSC_01636	CP000253.1	1556581	1556727	-	147	2	1	3	2	2	1
gene-SAOUHSC_01637	CP000253.1	1556824	1557198	-	375	4	50	91	38	55	58
gene-SAOUHSC_01638	CP000253.1	1557239	1557559	-	321	2	79	67	73	78	101
gene-SAOUHSC_01639	CP000253.1	1557525	1557971	-	447	1	35	29	35	39	49
gene-SAOUHSC_01640	CP000253.1	1557949	1558260	-	312	4	67	41	43	36	64
gene-SAOUHSC_01641	CP000253.1	1558274	1559194	-	921	5	183	76	133	119	181
gene-SAOUHSC_01643	CP000253.1	1559316	1560290	-	975	31	295	254	292	260	501
gene-SAOUHSC_01644	CP000253.1	1560342	1560965	-	624	914	2907	7132	3066	6846	3971
gene-SAOUHSC_01645	CP000253.1	1560962	1561291	-	330	325	1060	3171	1186	2375	1236
gene-SAOUHSC_01646	CP000253.1	1561291	1562277	-	987	2775	2289	6031	2626	5738	3027
gene-SAOUHSC_01647	CP000253.1	1562274	1562477	-	204	62	196	681	175	499	181
gene-SAOUHSC_01648	CP000253.1	1562458	1562910	-	453	683	642	2706	735	2021	802
gene-SAOUHSC_01649	CP000253.1	1562911	1563921	-	1011	278	827	3302	825	2762	952
gene-SAOUHSC_01650	CP000253.1	1563933	1564472	-	540	225	443	2525	459	1666	589
gene-SAOUHSC_01651	CP000253.1	1564681	1564830	-	150	326	3867	5073	4134	7312	6285
gene-SAOUHSC_01652	CP000253.1	1564943	1567018	-	2076	1667	4141	10879	5703	10790	6389
gene-SAOUHSC_01653	CP000253.1	1567139	1567738	-	600	9869	16671	69264	26766	52587	27591
gene-SAOUHSC_01655	CP000253.1	1568014	1568424	-	411	34	1669	903	1889	698	2533
gene-SAOUHSC_01656	CP000253.1	1568411	1569274	-	864	96	3392	1887	4031	1634	5416
gene-SAOUHSC_01657	CP000253.1	1569316	1570101	-	786	91	3312	1960	3716	1588	5200
gene-SAOUHSC_01658	CP000253.1	1570227	1571117	-	891	2170	12781	10953	11890	8379	14721
gene-SAOUHSC_01659	CP000253.1	1571127	1572473	-	1347	1622	12051	11714	11746	9064	13888
gene-SAOUHSC_01660	CP000253.1	1572587	1573687	-	1101	1321	6353	7848	8414	7039	9264
gene-SAOUHSC_01661	CP000253.1	1573690	1574367	-	678	420	3826	4048	4294	3613	5279
gene-SAOUHSC_01662	CP000253.1	1574498	1575604	-	1107	3634	23110	17502	27484	22605	36774
gene-SAOUHSC_01663	CP000253.1	1575828	1577627	-	1800	1512	20155	11887	20805	13463	30159
gene-SAOUHSC_01664	CP000253.1	1577688	1578506	-	819	472	1773	2811	1821	2807	2561
gene-SAOUHSC_01665	CP000253.1	1578517	1579056	-	540	105	988	1469	850	1576	1383
gene-SAOUHSC_01666	CP000253.1	1579475	1580866	+	1392	12899	18966	69546	26431	74427	30520
gene-SAOUHSC_01667	CP000253.1	1581016	1581762	-	747	469	3995	3015	3687	3072	5121
gene-SAOUHSC_01668	CP000253.1	1581790	1582464	-	675	283	3977	3024	3667	3088	5349
gene-SAOUHSC_01669	CP000253.1	1582589	1582765	+	177	18	353	395	406	297	521
gene-SAOUHSC_01670	CP000253.1	1582690	1583094	-	405	51	1161	1016	1097	1097	1765
gene-SAOUHSC_01671	CP000253.1	1583105	1583449	-	345	52	915	864	668	898	1216
gene-SAOUHSC_01672	CP000253.1	1583452	1583919	-	468	222	1873	2344	2000	2089	2858
gene-SAOUHSC_01673	CP000253.1	1583920	1584867	-	948	637	3168	5969	3219	4679	4525
gene-SAOUHSC_01675	CP000253.1	1585171	1585869	-	699	11922	19627	34969	24952	28852	32930
gene-SAOUHSC_01676	CP000253.1	1585886	1586875	-	990	8636	18861	28135	23734	29694	32389
gene-SAOUHSC_01677	CP000253.1	1586893	1587576	-	684	3186	11066	15707	12715	17654	17064
gene-SAOUHSC_01678	CP000253.1	1587820	1587996	-	177	3092	19488	18607	26433	39726	32815
gene-SAOUHSC_01679	CP000253.1	1588289	1589635	-	1347	2122	7938	13945	12343	11466	11064
gene-SAOUHSC_01680	CP000253.1	1589642	1590394	-	753	322	2507	3171	3699	2663	3313
gene-SAOUHSC_01681	CP000253.1	1590396	1591334	-	939	1138	29582	5621	42472	10565	37891
gene-SAOUHSC_01682	CP000253.1	1591338	1592477	-	1140	1444	26669	5258	40551	9291	30487
gene-SAOUHSC_01683	CP000253.1	1592613	1594445	-	1833	5865	450816	25784	675071	111189	608698
gene-SAOUHSC_01684	CP000253.1	1594514	1595140	-	627	195	128983	5880	192335	30204	164939
gene-SAOUHSC_01685	CP000253.1	1595172	1596149	-	978	214	105298	4302	126514	26557	121678
gene-SAOUHSC_01686	CP000253.1	1596250	1597374	-	1125	212	1402	1133	1521	926	1745
gene-SAOUHSC_01687	CP000253.1	1597626	1597754	-	129	484	378	551	468	400	491
gene-SAOUHSC_01688	CP000253.1	1597937	1599760	-	1824	2474	11164	12198	9993	12163	13783
gene-SAOUHSC_01689	CP000253.1	1600106	1600357	+	252	446	6299	11616	7863	10648	8704
gene-SAOUHSC_01690	CP000253.1	1600402	1601376	-	975	90	4350	1434	3113	1406	4709
gene-SAOUHSC_01691	CP000253.1	1601433	1603580	-	2148	195	1592	1964	1486	1789	1898
gene-SAOUHSC_01692	CP000253.1	1603639	1604070	-	432	430	1445	4088	1955	3703	2185
gene-SAOUHSC_01693	CP000253.1	1604192	1604878	-	687	117	1013	1061	951	881	1283
gene-SAOUHSC_01694	CP000253.1	1604918	1605634	-	717	592	3556	6096	3933	6273	5013
gene-SAOUHSC_01695	CP000253.1	1605637	1605990	-	354	895	2450	5412	2913	3911	3345
gene-SAOUHSC_01696	CP000253.1	1605991	1606575	-	585	1571	2232	6294	2835	4912	2900
gene-SAOUHSC_01697	CP000253.1	1606565	1607134	-	570	633	2111	3692	2223	2674	2781
gene-SAOUHSC_01698	CP000253.1	1607137	1607427	-	291	48	477	686	532	706	631
gene-SAOUHSC_01699	CP000253.1	1607431	1608237	-	807	281	1436	2263	1521	2067	1959
gene-SAOUHSC_01700	CP000253.1	1608251	1609351	-	1101	526	2800	4054	3200	3909	4003
gene-SAOUHSC_01701	CP000253.1	1609352	1609879	-	528	213	1491	2295	1605	1936	1892
gene-SAOUHSC_01702	CP000253.1	1609899	1610585	-	687	140	1208	2121	1436	2040	1744
gene-SAOUHSC_01703	CP000253.1	1610631	1610792	-	162	1	5	17	2	3	2
gene-SAOUHSC_01704	CP000253.1	1610899	1611168	+	270	12	68	210	44	136	66
gene-SAOUHSC_01705	CP000253.1	1611370	1612074	-	705	30	258	324	280	206	419
gene-SAOUHSC_01706	CP000253.1	1612536	1613756	-	1221	116	1343	2406	1458	1658	2083
gene-SAOUHSC_01707	CP000253.1	1614045	1615274	-	1230	139	1104	2093	1415	1596	1764
gene-SAOUHSC_01708	CP000253.1	1615287	1616039	-	753	205	691	1436	827	866	963
gene-SAOUHSC_01709	CP000253.1	1616039	1617400	-	1362	504	1037	3611	1586	1766	1570
gene-SAOUHSC_01710	CP000253.1	1617414	1617863	-	450	53	211	917	281	442	301
gene-SAOUHSC_01711	CP000253.1	1617865	1618779	-	915	274	430	2173	656	1355	742
gene-SAOUHSC_01712	CP000253.1	1618865	1619566	-	702	321	260	1858	496	1244	488
gene-SAOUHSC_01714	CP000253.1	1619925	1620401	-	477	892	6798	9412	7370	9364	9466
gene-SAOUHSC_01715	CP000253.1	1620429	1621052	-	624	1360	5302	8173	6337	6558	7170
gene-SAOUHSC_01716	CP000253.1	1621052	1622320	-	1269	1726	6379	6618	7586	7115	8786
gene-SAOUHSC_01717	CP000253.1	1622332	1623255	-	924	429	2871	3288	3732	2950	4064
gene-SAOUHSC_01718	CP000253.1	1623258	1623896	-	639	35	944	1004	829	986	1178
gene-SAOUHSC_01719	CP000253.1	1624181	1624489	-	309	4060	4823	12781	4634	9672	6268
gene-SAOUHSC_01720	CP000253.1	1624504	1624932	-	429	3919	4841	20454	5309	10855	5806
gene-SAOUHSC_01721	CP000253.1	1624936	1625196	-	261	1485	3044	13671	3186	9033	4170
gene-SAOUHSC_01722	CP000253.1	1625259	1627889	-	2631	4582	6833	16144	5773	13040	7657
gene-SAOUHSC_01723	CP000253.1	1628232	1630709	-	2478	483	4342	3410	4260	2989	5641
gene-SAOUHSC_01724	CP000253.1	1630711	1631379	-	669	53	422	707	472	574	577
gene-SAOUHSC_01725	CP000253.1	1631841	1632614	-	774	1734	6049	7212	7355	6894	8829
gene-SAOUHSC_01726	CP000253.1	1632623	1632925	-	303	357	1686	2356	1831	1899	2396
gene-SAOUHSC_01727	CP000253.1	1632959	1634101	-	1143	1628	7072	12980	8153	9608	9641
gene-SAOUHSC_01728	CP000253.1	1634413	1635426	+	1014	575	1530	1985	1834	1988	2439
gene-SAOUHSC_01729	CP000253.1	1635663	1635809	-	147	6284	10124	86437	9724	48620	12372
gene-SAOUHSC_01730	CP000253.1	1635849	1636031	-	183	3143	5225	49668	6733	25059	8440
gene-SAOUHSC_01732	CP000253.1	1636204	1636554	-	351	2260	1936	8050	2110	4616	2918
gene-SAOUHSC_01733	CP000253.1	1636551	1636727	-	177	2	62	27	74	61	117
gene-SAOUHSC_01734	CP000253.1	1636666	1637913	+	1248	1300	5394	8940	6942	9490	7747
gene-SAOUHSC_01735	CP000253.1	1638074	1638847	-	774	437	2249	4837	3465	5865	3787
gene-SAOUHSC_01736	CP000253.1	1638847	1638975	-	129	58	116	136	104	185	168
gene-SAOUHSC_01737	CP000253.1	1639308	1641074	-	1767	2006	2766	8310	3143	5935	3696
gene-SAOUHSC_01738	CP000253.1	1641090	1642352	-	1263	303	921	2144	985	1642	1189
gene-SAOUHSC_01739	CP000253.1	1642813	1643688	-	876	870	2608	11160	2943	7303	3810
gene-SAOUHSC_01741	CP000253.1	1643685	1644137	-	453	884	1271	5165	1692	4275	1871
gene-SAOUHSC_01742	CP000253.1	1644149	1646338	-	2190	4518	6301	27791	7305	20772	9162
gene-SAOUHSC_01743	CP000253.1	1646766	1647284	-	519	528	3989	3161	3087	3291	5168
gene-SAOUHSC_01744	CP000253.1	1647306	1649579	-	2274	423	7246	4744	5595	4591	9320
gene-SAOUHSC_01746	CP000253.1	1649782	1652001	-	2220	1934	9447	17580	9708	16277	12596
gene-SAOUHSC_01747	CP000253.1	1652336	1652596	-	261	473	2701	5233	3562	5968	4162
gene-SAOUHSC_01748	CP000253.1	1652615	1653754	-	1140	1438	6015	8896	7526	6341	7848
gene-SAOUHSC_01749	CP000253.1	1653777	1654802	-	1026	1050	5286	6056	6341	3940	6415
gene-SAOUHSC_01750	CP000253.1	1654804	1655808	-	1005	2433	5877	8097	7223	5398	7275
gene-SAOUHSC_01751	CP000253.1	1655840	1656442	-	603	408	3249	4947	3817	3591	4130
gene-SAOUHSC_01752	CP000253.1	1656456	1656911	-	456	312	1753	2146	2474	3026	2450
gene-SAOUHSC_01753	CP000253.1	1656924	1658216	-	1293	3372	9099	16429	11574	11351	11717
gene-SAOUHSC_01755	CP000253.1	1658571	1658855	-	285	12364	47587	31811	54832	28745	57298
gene-SAOUHSC_01756	CP000253.1	1658867	1659187	-	321	3123	28744	19333	28933	15341	32353
gene-SAOUHSC_01757	CP000253.1	1659193	1659501	-	309	11883	72577	81546	75476	40512	76736
gene-SAOUHSC_01758	CP000253.1	1659668	1660198	-	531	107	4002	1230	3355	1708	4347
gene-SAOUHSC_01759	CP000253.1	1660198	1661040	-	843	336	12080	5360	11339	4851	13211
gene-SAOUHSC_01760	CP000253.1	1661240	1661359	-	120	218	28344	3129	21048	2862	30841
gene-SAOUHSC_01761	CP000253.1	1661433	1661906	-	474	235	48205	6417	32695	5350	48910
gene-SAOUHSC_01762	CP000253.1	1662380	1662664	-	285	90	3127	1428	2692	1794	3676
gene-SAOUHSC_01763	CP000253.1	1662732	1663388	-	657	48	3484	239	2786	367	3626
gene-SAOUHSC_01764	CP000253.1	1663415	1664122	-	708	8	2032	158	1622	275	1920
gene-SAOUHSC_01765	CP000253.1	1664224	1664334	+	111	1	376	31	139	49	302
gene-SAOUHSC_01766	CP000253.1	1664392	1665663	-	1272	7397	11202	50519	13708	42121	15010
gene-SAOUHSC_01767	CP000253.1	1665676	1668306	-	2631	11237	14207	65754	18481	53943	18405
gene-SAOUHSC_01768	CP000253.1	1668709	1669269	+	561	737	2330	5380	2232	4420	3048
gene-SAOUHSC_01769	CP000253.1	1669492	1670565	-	1074	1277	4490	7375	3973	10570	6157
gene-SAOUHSC_01770	CP000253.1	1670599	1670700	-	102	20	321	571	311	763	568
gene-SAOUHSC_01771	CP000253.1	1670761	1672047	-	1287	2044	9044	10035	9370	9014	11955
gene-SAOUHSC_01772	CP000253.1	1672095	1673069	-	975	603	3310	3484	3784	3439	4517
gene-SAOUHSC_01773	CP000253.1	1673072	1673740	-	669	102	1705	1185	1866	1326	2288
gene-SAOUHSC_01774	CP000253.1	1673762	1674688	-	927	969	6148	6253	6637	5699	8307
gene-SAOUHSC_01775	CP000253.1	1674730	1675545	-	816	1318	3326	5354	3088	4518	4118
gene-SAOUHSC_01776	CP000253.1	1675567	1676913	-	1347	8536	21016	66166	25973	55718	28264
gene-SAOUHSC_01777	CP000253.1	1677130	1677720	-	591	290	886	2017	984	1471	1129
gene-SAOUHSC_01778	CP000253.1	1677874	1679136	-	1263	5701	26161	22778	29992	24232	38044
gene-SAOUHSC_01779	CP000253.1	1679287	1680588	-	1302	4422	50932	25102	44024	27887	65585
gene-SAOUHSC_01780	CP000253.1	1680636	1680746	-	111	30	89	209	30	56	40
gene-SAOUHSC_01781	CP000253.1	1680751	1681680	-	930	337	3678	4257	3942	3056	4155
gene-SAOUHSC_01782	CP000253.1	1681699	1682307	-	609	926	2007	3264	2176	1925	1942
gene-SAOUHSC_01783	CP000253.1	1682384	1682485	+	102	2	55	6	44	5	36
gene-SAOUHSC_01784	CP000253.1	1682449	1682805	-	357	1862	25158	12262	25005	9318	30205
gene-SAOUHSC_01785	CP000253.1	1682852	1683052	-	201	867	23458	11843	22919	8283	28625
gene-SAOUHSC_01786	CP000253.1	1683081	1683608	-	528	3314	36527	17123	37647	14374	43916
gene-SAOUHSC_01787	CP000253.1	1683837	1685330	-	1494	9370	5969	57389	4902	31236	6175
gene-SAOUHSC_01788	CP000253.1	1685756	1687693	-	1938	15028	4272	80371	5593	28195	6533
gene-SAOUHSC_01789	CP000253.1	1687891	1688013	-	123	1041	5058	32571	6669	18417	7071
gene-SAOUHSC_01791	CP000253.1	1688106	1689026	-	921	2159	6061	12704	6734	10561	7612
gene-SAOUHSC_01792	CP000253.1	1689026	1690426	-	1401	2341	4928	13491	6183	12758	7047
gene-SAOUHSC_01793	CP000253.1	1690427	1690897	-	471	884	1847	7163	2470	5907	2519
gene-SAOUHSC_01794	CP000253.1	1691107	1692132	-	1026	891	18789	22164	27446	20113	19882
gene-SAOUHSC_01795	CP000253.1	1692302	1692925	-	624	1220	3947	6304	3291	4224	4854
gene-SAOUHSC_01796	CP000253.1	1692941	1693813	-	873	554	3176	4915	2961	4415	3844
gene-SAOUHSC_01797	CP000253.1	1693829	1696459	-	2631	1459	6386	12031	6665	11815	9080
gene-SAOUHSC_01798	CP000253.1	1696753	1698240	-	1488	80	2431	1176	1565	1265	2392
gene-SAOUHSC_01799	CP000253.1	1698739	1700400	-	1662	344	4543	3810	4103	3950	6106
gene-SAOUHSC_01800	CP000253.1	1700400	1701104	-	705	408	911	3244	936	2565	1292
gene-SAOUHSC_A01723	CP000253.1	1701056	1701274	+	219	0	17	8	23	13	18
gene-SAOUHSC_01801	CP000253.1	1701494	1702762	-	1269	1032	9857	5134	10047	6306	14448
gene-SAOUHSC_01802	CP000253.1	1702811	1703668	-	858	444	4213	2770	4541	3286	5947
gene-SAOUHSC_01803	CP000253.1	1704280	1705641	+	1362	5095	4367	36558	6204	28867	7923
gene-SAOUHSC_01804	CP000253.1	1705674	1706480	-	807	11	265	138	249	188	314
gene-SAOUHSC_01805	CP000253.1	1706498	1707325	-	828	13	173	122	191	118	299
gene-SAOUHSC_01806	CP000253.1	1707966	1709723	-	1758	11119	7082	31343	8799	38968	11443
gene-SAOUHSC_01807	CP000253.1	1709745	1710668	-	924	6992	2938	13563	3549	9448	4048
gene-SAOUHSC_01808	CP000253.1	1710982	1711926	-	945	1903	10189	8416	7729	6831	12468
gene-SAOUHSC_01809	CP000253.1	1711926	1712783	-	858	986	6186	6627	5424	5219	7941
gene-SAOUHSC_01810	CP000253.1	1712978	1714207	-	1230	1883	4800	6432	4180	4512	6500
gene-SAOUHSC_01811	CP000253.1	1714657	1717854	-	3198	2677	11894	16020	13745	18276	17683
gene-SAOUHSC_01812	CP000253.1	1717875	1718816	-	942	811	2927	4083	3410	4240	4584
gene-SAOUHSC_01813	CP000253.1	1719077	1720375	-	1299	1060	3155	5611	4079	6040	5225
gene-SAOUHSC_01814	CP000253.1	1720580	1720993	+	414	1282	4803	8992	5173	9452	6814
gene-SAOUHSC_01815	CP000253.1	1721298	1721987	-	690	2402	5173	12034	6633	13059	7120
gene-SAOUHSC_01816	CP000253.1	1722162	1723217	+	1056	1314	1979	5449	1974	4635	2840
gene-SAOUHSC_01817	CP000253.1	1723311	1723409	-	99	40	289	487	296	676	467
gene-SAOUHSC_01818	CP000253.1	1723533	1724651	-	1119	3278	9362	14264	14816	12346	14353
gene-SAOUHSC_01819	CP000253.1	1724792	1725292	+	501	23023	8251	46780	17186	51371	19625
gene-SAOUHSC_01820	CP000253.1	1725538	1726740	-	1203	1271	7090	7158	8695	8761	10669
gene-SAOUHSC_01821	CP000253.1	1726828	1727775	-	948	245	1253	2103	1542	2849	2120
gene-SAOUHSC_01822	CP000253.1	1727898	1728392	-	495	673	3205	6471	4487	9679	6345
gene-SAOUHSC_01823	CP000253.1	1728490	1729260	-	771	190	1186	2030	1243	1120	1317
gene-SAOUHSC_01824	CP000253.1	1729304	1730527	-	1224	703	2049	2803	2364	1843	2406
gene-SAOUHSC_01825	CP000253.1	1730527	1731675	-	1149	137	1466	2097	1556	1437	1830
gene-SAOUHSC_01826	CP000253.1	1731824	1731964	+	141	61	138	153	189	217	226
gene-SAOUHSC_01827	CP000253.1	1732038	1733732	-	1695	2967	18860	25715	18315	26912	26706
gene-SAOUHSC_01828	CP000253.1	1733869	1734333	+	465	636	797	2165	811	2003	1232
gene-SAOUHSC_01829	CP000253.1	1734577	1735179	+	603	10070	56046	47870	68085	40858	66087
gene-SAOUHSC_A01754	CP000253.1	1735252	1735506	+	255	13	72	89	60	87	127
gene-SAOUHSC_01830	CP000253.1	1735395	1736138	-	744	197	797	1092	724	713	1029
gene-SAOUHSC_01831	CP000253.1	1736218	1736664	+	447	379	762	2181	1135	1810	1330
gene-SAOUHSC_01832	CP000253.1	1736778	1737938	+	1161	3919	785	23723	1293	18393	1432
gene-SAOUHSC_01833	CP000253.1	1737925	1739529	+	1605	3153	2013	22332	2372	17505	2933
gene-SAOUHSC_01834	CP000253.1	1739623	1739718	+	96	46	91	234	95	209	117
gene-SAOUHSC_01835	CP000253.1	1739679	1740809	-	1131	743	2256	10731	2037	7262	2652
gene-SAOUHSC_01836	CP000253.1	1740916	1742382	-	1467	799	5912	5855	5699	5028	7862
gene-SAOUHSC_01837	CP000253.1	1742510	1743127	-	618	543	1038	3256	1124	2707	1535
gene-SAOUHSC_01838	CP000253.1	1743299	1744573	+	1275	2188	1855	9199	2991	8097	3910
gene-SAOUHSC_01839	CP000253.1	1744667	1745929	-	1263	244	719	1831	756	1554	1201
gene-SAOUHSC_01840	CP000253.1	1746311	1747216	+	906	64	440	1113	341	830	603
gene-SAOUHSC_01841	CP000253.1	1747196	1747288	-	93	1	0	0	0	0	1
gene-SAOUHSC_01843	CP000253.1	1747419	1750106	-	2688	147	1673	1366	1856	1159	2767
gene-SAOUHSC_01844	CP000253.1	1750105	1750194	+	90	2	6	5	7	3	7
gene-SAOUHSC_01845	CP000253.1	1750440	1752107	-	1668	5739	5572	21607	9096	16524	11024
gene-SAOUHSC_01846	CP000253.1	1752547	1754253	-	1707	2830	2432	16633	4559	8451	3958
gene-SAOUHSC_01847	CP000253.1	1754422	1755054	+	633	659	641	4341	1115	3617	1091
gene-SAOUHSC_01849	CP000253.1	1755079	1756248	+	1170	1410	1215	5993	2228	4527	2097
gene-SAOUHSC_01850	CP000253.1	1756346	1757335	-	990	2321	13260	27846	14090	17486	20424
gene-SAOUHSC_01851	CP000253.1	1757408	1757521	-	114	1	2	1	1	3	1
gene-SAOUHSC_01852	CP000253.1	1757875	1758966	-	1092	5386	3665	39297	3675	22595	5442
gene-SAOUHSC_01853	CP000253.1	1759427	1759531	-	105	1	15	25	20	23	18
gene-SAOUHSC_01854	CP000253.1	1759666	1761183	-	1518	25058	25202	75294	30764	58055	37611
gene-SAOUHSC_01855	CP000253.1	1761257	1761748	-	492	6490	20992	32326	28492	55532	37198
gene-SAOUHSC_01856	CP000253.1	1761822	1763135	-	1314	2224	7332	18520	7777	12993	10337
gene-SAOUHSC_01857	CP000253.1	1763159	1766983	-	3825	8350	13672	37127	15024	28717	20331
gene-SAOUHSC_01858	CP000253.1	1767004	1767600	-	597	935	976	2863	1037	2349	1544
gene-SAOUHSC_01859	CP000253.1	1767629	1768486	-	858	340	1161	1848	1141	2204	1677
gene-SAOUHSC_01860	CP000253.1	1768586	1768897	-	312	1302	1270	4511	1411	4945	2105
gene-SAOUHSC_01861	CP000253.1	1768962	1770038	-	1077	1151	2223	3947	2188	3527	3505
gene-SAOUHSC_01863	CP000253.1	1770125	1770436	+	312	220	1590	4133	1318	4349	2038
gene-SAOUHSC_01864	CP000253.1	1770561	1771403	-	843	889	1360	3233	1635	2536	2153
gene-SAOUHSC_01865	CP000253.1	1771873	1772517	-	645	2880	12259	18016	11990	12631	15080
gene-SAOUHSC_01866	CP000253.1	1772532	1773257	-	726	7855	12260	21922	13706	19485	16979
gene-SAOUHSC_01867	CP000253.1	1773873	1774721	-	849	1111	3264	6220	2940	4834	4233
gene-SAOUHSC_01868	CP000253.1	1774725	1776134	-	1410	5760	1989	11439	2396	9729	3122
gene-SAOUHSC_01869	CP000253.1	1776998	1777420	-	423	4004	5990	32921	7926	19222	7490
gene-SAOUHSC_01870	CP000253.1	1777437	1778132	-	696	1000	3529	7260	3353	4683	4450
gene-SAOUHSC_01871	CP000253.1	1778129	1779790	-	1662	1332	3171	6279	3437	6643	4576
gene-SAOUHSC_01872	CP000253.1	1780197	1781465	+	1269	813	1469	2978	1831	2251	2000
gene-SAOUHSC_01873	CP000253.1	1781582	1788142	-	6561	339	5008	2319	4625	2275	6853
gene-SAOUHSC_01874	CP000253.1	1788485	1788796	-	312	652	355	1509	351	827	482
gene-SAOUHSC_01875	CP000253.1	1788818	1791235	-	2418	2366	2547	7684	3140	6951	3665
gene-SAOUHSC_01876	CP000253.1	1791523	1792704	-	1182	602	1639	2281	2338	2879	2459
gene-SAOUHSC_01877	CP000253.1	1792814	1793767	+	954	1044	1810	3970	2297	3928	3044
gene-SAOUHSC_01878	CP000253.1	1793764	1794327	+	564	228	1475	2931	1676	2836	2357
gene-SAOUHSC_01879	CP000253.1	1794447	1794848	-	402	443	4859	6627	5203	7498	6819
gene-SAOUHSC_01880	CP000253.1	1795368	1795592	-	225	11	108	120	107	80	157
gene-SAOUHSC_01881	CP000253.1	1795589	1796080	-	492	6	157	90	155	112	200
gene-SAOUHSC_01882	CP000253.1	1796427	1797254	-	828	896	4727	6027	5051	5870	7414
gene-SAOUHSC_01883	CP000253.1	1797257	1797376	-	120	5	25	35	8	11	15
gene-SAOUHSC_01884	CP000253.1	1797488	1798489	+	1002	5552	2730	40065	6078	28273	4825
gene-SAOUHSC_01886	CP000253.1	1798611	1799075	-	465	293	944	1268	1234	1434	1240
gene-SAOUHSC_01887	CP000253.1	1799088	1800269	-	1182	472	2426	2974	3058	2482	2634
gene-SAOUHSC_01888	CP000253.1	1800280	1800912	-	633	305	1230	1344	1623	1309	1486
gene-SAOUHSC_01889	CP000253.1	1800919	1801923	-	1005	1007	2336	2924	3222	2962	2718
gene-SAOUHSC_01890	CP000253.1	1802443	1803945	-	1503	160	658	899	670	888	903
gene-SAOUHSC_01891	CP000253.1	1804468	1804782	+	315	13	420	497	480	323	544
gene-SAOUHSC_01893	CP000253.1	1804782	1806074	+	1293	65	1815	1503	1691	1165	1937
gene-SAOUHSC_01894	CP000253.1	1806092	1806487	+	396	169	887	610	842	620	956
gene-SAOUHSC_01895	CP000253.1	1806782	1807636	-	855	1659	6513	12024	7224	9304	8653
gene-SAOUHSC_01896	CP000253.1	1807912	1808136	-	225	115	813	2175	787	1781	1174
gene-SAOUHSC_01897	CP000253.1	1808335	1808805	+	471	73	911	1421	618	1416	882
gene-SAOUHSC_01898	CP000253.1	1808918	1809361	+	444	67	1050	2560	759	1859	1029
gene-SAOUHSC_01899	CP000253.1	1809348	1809791	-	444	102	1078	2349	901	1926	1214
gene-SAOUHSC_01900	CP000253.1	1810087	1810722	+	636	32	1063	377	758	536	1316
gene-SAOUHSC_01901	CP000253.1	1811162	1811875	-	714	877	2910	12716	5355	12293	7221
gene-SAOUHSC_01902	CP000253.1	1812135	1812437	+	303	26	43	250	27	298	58
